grant_id,ies_title,program_name,program_topic,topic_area,ies_purpose
R305A100995,A Multisite Evaluation of the Implementation and Impact of Supplemental Educational Services,Education Research Grants,Improving Education Systems,Policy,"The project will evaluate the efficacy of supplemental education services provided to low-income students as required under the No Child Left Behind Act of 2001. As part of this work, the project will: (1) estimate the net impacts of supplemental education services on student achievement; (2) identify the particular design elements and curricular and instructional components of programs that contribute to these impacts; (3) investigate whether those students who are most in need of extra academic assistance are enrolling in and attending these services; (4) investigate which factors influence parent and student choices in selecting and staying with service providers; and (5) identify what policy levers are available to state and local educational agencies to increase service program effectiveness."
R305A110136,An Efficacy Trial of Two Interventions Designed to Reduce Stereotype Threat Vulnerability and Close Academic Performance Gaps,Education Research Grants,Improving Education Systems,Policy,"This project tested the efficacy of reducing gaps in academic performance between minority and White students and between students of lower and higher socioeconomic status through two types of interventions aimed at reducing stereotype threat. Stereotype threat refers to the apprehension individuals experience when confronted with a personally relevant stereotype that threatens their social identity or self-esteem. Prior work has proposed that the phenomenon could help explain group differences in performance on standardized tests and in school. Stereotype threat is predicated on the notion that people often fear behaving in a way that fits the negative cultural image associated with a group stereotype, thereby marking them as inferior. This largely unconscious fear elicits anxiety and other counterproductive responses that can severely interfere with thinking and performance on standardized tests or other evaluative activities in the classroom.

This project team proposed to determine the impacts of two similar but theoretically distinct stereotype threat-reduction interventions. The first intervention is a self-affirmation intervention and the second is a social-belonging intervention. Both interventions are carried out through student writing exercises. The self-affirmation intervention is based on protecting the self from perceived threats and the consequences of failure by encouraging affirmation of self-worth. The social-belonging intervention is intended to help students think about social and academic stressors as common and temporary, which normalizes these stressful experiences and allows for improved achievement, behavior, and well-being. Prior research has found promising evidence regarding student achievement for both interventions."
R305A110149,Assessing the Efficacy of Online Credit Recovery in Algebra I for At-Risk Ninth Graders,Education Research Grants,Improving Education Systems,Policy,"Failing Algebra I in the first year of high school significantly decreases a student's likelihood of graduating. Getting students back on track is a high priority, yet little rigorous evidence exists about credit recovery options. This study will test the efficacy of offering an online Algebra I course in the summer after 9th grade for first time 9th graders who failed the second semester of Algebra I."
R305A110967,"The Impact of Incentives to Recruit and Retain Teachers in ""Hard-to-Staff"" Subjects: An Analysis of the Florida Critical Teacher Shortage Program",Education Research Grants,Improving Education Systems,Policy,"This project will evaluate the efficacy of programs created under the statewide Florida Critical Teacher Shortage Program (FCTSP) and a related set of teacher bonuses, the Teacher Recruitment and Retention Fund (TRRF). Components of the programs were in place starting in 1984 and ending in 2010 and provided a variety of incentives to become fully certified to teach in hard-to-staff disciplines like math, science and special education."
R305A120269,"Why are Some Charter Schools More Effective than Others? Econometric Methods and Empirical Evidence from Massachusetts, Michigan, and Texas",Education Research Grants,Improving Education Systems,Policy,"Enrollment in charter schools has tripled over the last decade, and more states are making it easier to open charter schools. These two factors make it likely that growth in charter school enrollment will continue in the coming years. The goal of the proposed research plan is to use a diverse sample of charter schools from three states to determine what makes some charter schools reliably succeed at increasing learning while others do not. A key feature of this study is that charter enrollment will be determined by a lottery system. Such an approach allows comparisons between charter school students and non-charter school students in a manner that meaningfully reduces selection bias. The results of this study are intended to contribute to the body of literature available to policy makers when developing or refining charter school initiatives."
R305A120466,Doubling Up? The Impact of Remedial Algebra on Students' Long-Run Outcomes,Education Research Grants,Improving Education Systems,Policy,"Over the past twenty years, there has been a movement across the nation for districts to implement ""Algebra-for-all"" policies in which 9th (or even 8th) grade students are required to take introductory algebra regardless of whether the students are academically prepared. School districts, especially those with high concentration of 9th grade students who lack foundational math skills, are concerned that early failure in algebra may lead to a series of negative consequences for struggling students' future academic achievement and ability to graduate from high school. One emerging remediation strategy is ""double-dose"" algebra, a scheduling mechanism in which students in need of math remediation are required to take two periods of algebra per day instead of one.

Since 2003, a large urban school district in Illinois has implemented a version of double-dose algebra for students entering high school with math test scores below the national average. The underlying theory is that increasing algebra instructional time for these students will lead to improved student outcomes. An earlier IES study found that the district's double-dose algebra policy had positive and substantial impacts on 9th and 10th grade outcomes such as G.P.A, course failure rates, and standardized test scores. In this follow-up study, researchers will examine the impact of the double-dose algebra policy on long-term outcomes such as advanced math coursework and performance, ACT scores, high school graduation rates and college enrollment."
R305A120677,Getting Students to the Finish Line: An Efficacy Study of a Ninth Grade Early Warning Indicator Intervention,Education Research Grants,Improving Education Systems,Policy,"Each year in the United States, more than a million students fail to graduate with their high school class. The process of disengagement with schooling which culminates in students dropping out generally manifests itself behaviorally in high absenteeism, behavior problems, and course failure, including both the failure to complete assignments and failure to pass courses. These three factors-the ABCs-are the strongest predictors of dropping out, are often interrelated, and can serve as early warning indicators of students who absent effective intervention are likely to dropout. In this project, researchers will evaluate the effectiveness of the Early Warning Intervention (EWI) Team model, developed by the Center for Social Organization of Schools at Johns Hopkins University, on absenteeism and other proximal outcomes that are related to high school graduation. In this model, facilitators are trained to work with school teams to intervene with students displaying early warning indicators of not being “on-track” to graduation."
R305A120809,Preventing Truancy in Urban Schools Through Provision of School Services by Truancy Officers,Education Research Grants,Improving Education Systems,Policy,The purpose of this study is to carry out a large-scale randomized efficacy trial of a case management program that focuses on reducing chronic absenteeism and improving school engagement by pairing mentor/monitors with students at risk for school dropout.
R305A130044,Testing the Promise: A Randomized Trial of a Promise College Scholarship for Urban Public School Students,Education Research Grants,Improving Education Systems,Policy,"This research project assesses the efficacy of The Degree Project (TDP), a ""promise program"" which seeks to increase college preparation, enrollment, and degree completion among low-income, urban high school students by promising ninth-grade students a scholarship if they engage in college-preparation activities during high school. Promise programs are widely used (73 programs nationally) and are feasible alternatives to traditional ""late commitment"" grant and loan programs (e.g., Pell grants) that wait to inform students until after they are leaving high school-when many are already off track. This study is the first United States-based randomized trial of a promise program. By evaluating the impact of TDP on college enrollment and persistence, the research team will provide knowledge about the effects of this promise scholarship program."
R305A140363,On the Importance of School Facilities Spending to School Outcomes,Education Research Grants,Improving Education Systems,Policy,U.S. school districts invest billions of dollars to upgrade school facilities on the assumption that this will improve student outcomes. Empirical evidence about the allocation of facilities spending and its effect on student performance is necessary to enable financially constrained school districts to judiciously invest their resources. The purpose of this project is to inform policies regarding capital investments in school facilities. Researchers will examine the following questions: (1) How much do school facility investments affect student performance? (2) Do school facility investments improve school building conditions? and (3) Do the effects of school facility investments on student outcomes operate through mediators?
R305A150477,Early College High Schools at Scale: Probing Impacts and Generalizability with a Quasi-Experiment Benchmarked Against an RCT,Education Research Grants,Improving Education Systems,Policy,"This project provides evidence about the effectiveness of Early College High Schools (ECHS) in North Carolina (NC) which are small schools of choice primarily located on campuses of two- or four-year colleges or universities. Students who attend ECHS have the opportunity to earn, at no financial cost to them, two years of transferable college credit or an associate's degree while simultaneously satisfying high school graduation requirements. This study leveraged existing data to provide information about whether, how, and for whom NC ECHS are effective. Prior IES-funded research (Follow-Up to the Study of the Efficacy of North Carolina's Early College High School Model) examined impacts from 19 of the 70 ECHS sites in NC. These 19 sites used a lottery for admissions to ECHS. Lotteries approximate random assignment designs and allow for rigorous assessment of efficacy. This study built on the prior study by examining longer term outcomes, including civic outcomes such as incarceration and voting. In addition, this study used the data and results of the prior study to build complex statistical models to replicate the RCT and apply, retrospectively, to the other 51 NC ECHS to estimate their effects. A secondary aim of the project was to develop and refine this new statistical technique. A third aim was to assess the generalizability of the ECHS effects to sites that did not hold a lottery."
R305A160188,"Alignment, Timing and Support: The Effect of Early Intervention on Student College Readiness",Education Research Grants,Improving Education Systems,Policy,"Weak academic preparation before college matriculation is often cited as a key reason for persistently low college graduation rates. To address this issue, about 40 states provide high school-to-college transition interventions at the state and local levels. This study examined the efficacy of one such effort-Kentucky's Targeted Interventions Program (TIP)-and explored the conditions under which TIP may help close the college readiness gap. The study focused on transition interventions that high school seniors received as a result of missing college readiness benchmarks on the ACT that they took in the Spring of their junior year. Each intervention cycle typically includes a diagnostic pretest, the development of instructional targets and their associated formative assessments, direct delivery of instruction, and a posttest. The study found that TIP achieved its policy goal of significantly reducing students' need for developmental education (DE) in college. However, gains made during the first year in college did not lead to higher likelihood of completing college or successful transfers to 4-year colleges among students who started in 2-year colleges. The study explored several possible reasons for the lack of longer-term benefit."
R305A170152,Assessing the Efficacy of Online Credit Recovery on Student Learning and High School Graduation,Education Research Grants,Improving Education Systems,Policy,"School districts across the country are increasingly considering using online courses to expand credit recovery options for high school students who need to get back on track toward graduation. This study aimed to determine how such online programs compare to more traditional, in-person, teacher-led programs in terms of student content knowledge, credit accumulation, and high school graduation rates. The study focused on two common credit recovery courses – Algebra 1 and ninth grade English (English 9) – in a large, urban school district."
R305A170180,Evaluation of a Training Program to Promote Effective School Leadership,Education Research Grants,Education Leadership,Policy,"The purpose of this project is to evaluate the efficacy of Safe and Civil School Leadership (SCSL), a professional development program designed to promote effective school leadership skills. SCSL focuses on equipping principals with the knowledge and skills to foster positive and safe learning climates using practical data-based decision making tools. Although SCSL was developed over a decade ago and has been implemented in dozens of states with thousands of principals, its effects on principal, teacher, and student outcomes have never been independently evaluated in a controlled trial."
R305A170250,"P-TECH 9–14 Schools: An Impact, Implementation and Cost Study",Education Research Grants,Improving Education Systems,Policy,"In this project, researchers assessed the implementation, impact, and cost of P-TECH, an approach to career and technical education that begins in high school and includes pathways to college and careers, employer and college partnerships, work-based learning, and opportunities to earn a high school diploma and an associate in applied science or an associate degree in a high-skills field awarded by the high school's lead postsecondary partner. Upon graduation, students are prepared for entry-level jobs in the field of the industry partner(s). The P-TECH model is being rapidly expanded and scaled. To date, close to 300 P-TECH schools have opened nationally. The first implementation of P-TECH in New York City (NYC) in 2011 used a 9-14 model. This study provided the first rigorous evidence from an impact evaluation to demonstrating the effects of the P-TECH model for grades 9 through 14 (hereafter referred to as P-TECH 9-14) in NYC."
R305A200060,The Impact of Integration: An Analysis of the METCO Voluntary Desegregation Busing Program,Education Research Grants,Improving Education Systems,Policy,"This project analyzes the impact of integration on Black, Hispanic, Asian, and White students' outcomes using the applicant records of the 50-year-old Metropolitan Council for Educational Opportunity (METCO) voluntary desegregation busing program. Findings from the study will increase understanding of the impact of reduced racial isolation and of access to high-performing suburban schools for urban students of color."
R305A200254,The Impact of CSI Designation in Multiple Measure ESSA Accountability Systems,Education Research Grants,Improving Education Systems,Policy,"The purpose of this project is to examine accountability systems under the Every Student Succeeds Act (ESSA). Although research has examined the effects of accountability policies, little is known about why accountability is or is not showing results. The project team will examine causal pathways to help explain such results. Researchers will take advantage of newly introduced accountability measures to examine a richer set of outcomes beyond student test scores. This study will be one of the first to examine accountability systems as implemented under ESSA."
R305A210292,An Experienced School Support Organization at Scale: A Study of The Urban Assembly Network,Education Research Grants,Improving Education Systems,Policy,"Amidst modest increases in high school graduation rates for all students, stark differences still exist between the supports and quality of secondary schooling provided to low-income students of color. In response to this equity issue, there has been a growth in third-party ""school support"" organizations like Urban Assembly (UA): groups created to independently interface with schools to provide additional monetary, organizational, instructional, personnel and professional development resources. This growth has occurred nationally, within school districts as ""intermediary organizations"" or ""partnership support organizations"" and within the charter school sector as ""charter management organizations."" Despite the large monetary investment in these organizations there is little rigorous, peer-reviewed research on their effectiveness. The project will help fill this gap with a robust set of activities that would yield lessons for other school support organizations on best practices, as well as apply the most rigorous causal approach to understanding what works to improve student outcomes."
R305B070702,A Randomized Efficacy Trial of Academically Enhanced Rigorous Career Academies: Studying the Impact of the National Academy Foundation (NAF) Model,Education Research Grants,Improving Education Systems,Policy,"Career Academies combine several key school improvement strategies, including creation of small learning communities, use of school-to-work curriculum to better align high school learning with anticipated professional pursuits, and creation of partnerships with local employers and social institutions to strengthen the relationships between schools and communities. In previous evaluations of Career Academies, researchers found a positive effect on labor market outcomes for males but no significant impact on academic outcomes in high school or at the postsecondary level. The National Academy Foundation responded to these findings by designing an academically enhanced Career Academy model. The purpose of this project is to evaluate the effect of the enhanced academies on academic outcomes during high school."
R305E040085,Assessing the Impact of Principals' Professional Development: An Evaluation of the National Institute for School Leadership,Education Research Grants,Education Leadership,Policy,"In this project, the researchers proposed to evaluate impact of the National Institute for School Leadership (NISL) on principals' knowledge and practice. NISL was a district-level strategy for improving student achievement by developing principals. The researchers aimed to address the following research questions:

How does participation in the NISL leadership development program influence the knowledge and practice of school principals who participate in the program?
How do the beliefs, practices, and opportunities for instructional improvement of teachers in schools led by NISL participants differ from those of teachers in schools not led by NISL participants, and how do these continue to develop over time?
In what ways does student achievement change in schools led by NISL participants?"
R305E050052,"Implementing Public School Choice in Charlotte, NC: Impacts on Student Outcomes, Competitiveness and Racial Segregation",Education Research Grants,Improving Education Systems,Policy,"In this study, researchers examined the impact of implementing lottery-based public-school choice, a systemic school reform strategy focused on allowing parents the right to choose which public school their child may attend within their home school district in Charlotte, North Carolina. Over the duration of this project, the researchers examined the impact of this program on several outcomes, including performance on standardized tests, student absences, disciplinary problems, parental satisfaction, participation in after-school activities, school demand, and racial re-segregation."
R305E050135,Study of Innovative School Leadership Performance Evaluation Systems,Education Research Grants,Education Leadership,Policy,"The purpose of this project was to provide evidence of the potential efficacy of standard-based leadership evaluations in helping principals develop the proficiencies needed to support improved student achievement. Those same accountability demands require that school districts evaluate school leadership as well as assist principals in obtaining the skills needed to improve student performance. However, little rigorous research exists on specific school leadership skills that are associated with student success, assessment practices that can identify leaders who possess these skills, and procedures that might assist principals in developing these skills. The researchers for this project proposed to explore these factors to help address this gap."
R305R060022,Study of the Efficacy of North Carolina's Learn and Earn Early College High School Model,Education Research Grants,Improving Education Systems,Policy,"In this project, the researchers proposed to evaluate the impact of early college high schools. Early college high schools, often located on college campuses, were designed to accelerate the academic progress of students while minimizing the barriers between high school and college. At the time of this study, they were a recent intervention with very little research on their impact. Therefore, the researchers aimed to

determine whether students who attend early college high schools perform significantly better than students in traditional high schools
examine the extent to which effects on student outcomes vary by student characteristics
identify the extent to which specific early college high school components are associated with positive student outcomes.
an articulated program of study for grades 9 to 12 or 13 leading to the associate's degree"
R305R060059,Comprehensive Evaluation of the Effects of District-Wide High School Curriculum Reform on Academic Achievement and Attainment in Chicago,Education Research Grants,Improving Education Systems,Policy,"There is increasing recognition and concern in the U.S. that too few high school students, especially those in urban areas, are graduating with the skills needed for college and the workforce. Currently, there are two major curriculum reform movements at work in high schools: one to engage all students in traditional college preparatory work, and another to increase the difficulty of college preparatory curriculums. These movements are based on studies showing that students who take more rigorous coursework have higher achievement and educational attainment. However, the applicability of this research to diverse high schools is weak. In fact, at the same time that enrollment in rigorous coursework has increased dramatically, achievement scores in reading and math among 17-year-olds have been stagnant. The value of these types of curriculum reform in a broader educational context is in need of study."
R305A040082,Center for Data-Driven Reform in Education,Education Research and Development Centers,Improving Low Achieving Schools,Policy,"The purpose of the Center for Data-Driven Reform in Education (CDDRE) was to study how school districts can use data-driven reform to improve student achievement. This question was examined through randomized controlled trials at the district level. In response to the need for success on measured objectives under No Child Left Behind, CDDRE provided the following services to state, district, and school leadership teams through its Raising the Bar program:

Training in and coaching on using a data-driven decision-making process for planning and achievement.
Information on research-proven solutions to student-achievement challenges.
Training in and coaching on instructional leadership and achievement monitoring."
R305A060034,National Center for Performance Incentives (Policy-NCPI),Education Research and Development Centers,NA,Policy,The purpose of the National Center on Performance Incentives (NCPI) was to conduct a focused program of education research on the impact of teacher incentives on student and teacher outcomes.
R305E090003,Evaluation of Core Knowledge Charter Schools in Colorado,Partnerships and Collaborations Focused on Problems of Practice or Policy,Evaluation of State and Local Education Programs and Policies,Policy,"This project will evaluate the impact of Core Knowledge (CK) charter elementary schools in Colorado on student achievement primarily in kindergarten through third grade. It will also examine whether there are differential impacts by student and school characteristics, whether the level of implementation of the Core Knowledge program is associated with the impacts on student achievement, as well as the cost-effectiveness of the CK charter schools."
R305E090005,A Proposal to Measure the Impact of Indiana's System of Diagnostic Assessments on Student Achievement Outcomes,Partnerships and Collaborations Focused on Problems of Practice or Policy,Evaluation of State and Local Education Programs and Policies,Policy,"This project will study the impact of Indiana's statewide Diagnostic Assessment Intervention on changes in teachers' instructional behaviors and on K-8 student performance on state accountability tests using a randomized control design. It will also examine whether variation in implementation of the Diagnostic Assessment Intervention is associated with differences in impacts and whether school, teacher or student characteristics modify the effects of the intervention on student test scores using non-experimental methods. More generally, the evaluation will provide evidence regarding the value of using interim assessments to monitor student progress in order to guide instruction and so increase student achievement."
R305E090009,Evaluating the Effectiveness of Tennessee's Voluntary Pre-K Program,Partnerships and Collaborations Focused on Problems of Practice or Policy,Evaluation of State and Local Education Programs and Policies,Policy,"This project will evaluate the effectiveness of the Tennessee Voluntary Pre-k Program (TN-VPK) in attaining its primary objectives of enhancing the school readiness of economically disadvantaged children and improving their academic performance. It will also examine the relationship between student outcomes and selected policy-relevant characteristics of teachers, classrooms, and schools to determine which are associated with the largest effects and thus provide guidance for program improvement. Many states have undertaken pre-k initiatives with similar expectations, so the results of this study will be of interest both to and beyond Tennessee."
R305E090010,Evaluation of the New Jersey Preschool Expansion (NJPE) Program,Partnerships and Collaborations Focused on Problems of Practice or Policy,Evaluation of State and Local Education Programs and Policies,Policy,"This project will evaluate the effectiveness of the New Jersey Preschool Expansion (NJPE) Program in attaining its primary objectives of enhancing the school readiness of economically disadvantaged children. It will also examine the relationship between student outcomes and characteristics of students, teachers, and districts to determine which are associated with the largest effects and thus provide guidance for program improvement. Many states have undertaken pre-k initiatives with similar expectations, so the results of this study will be of interest both to and beyond New Jersey."
R305E090019,Evaluation of Ninth Grade Academies in Broward County Public Schools,Partnerships and Collaborations Focused on Problems of Practice or Policy,Evaluation of State and Local Education Programs and Policies,Policy,"The purpose of the project is to assess the impact of Ninth Grade Academies (NGAs) on student engagement and performance in ninth grade and throughout high school. NGAs in Broward County and Florida are self-contained units located in a designated area of the school, with their own dedicated teaching faculty, guidance staff, and social services to create an intact community for the transition year of ninth grade. They have interdisciplinary teacher teams that share the same students and have common planning times. The project will also study how NGAs are implemented in Broward County Public Schools (BCPS) and in other schools in Florida, what factors influence high fidelity of implementation, the effectiveness of enhancements, and how implementation and effectiveness vary within BCPS and the State of Florida."
R305E100008,The Impact of the Michigan Merit Curriculum and Michigan Promise Scholarship on Student Outcomes,Partnerships and Collaborations Focused on Problems of Practice or Policy,Evaluation of State and Local Education Programs and Policies,Policy,This project assessed the implementation and impact of two recent reforms in Michigan designed to work in tandem to promote college attendance and success: (1) the Michigan Merit Curriculum the requires a more rigorous high school curriculum; and (2) the Michigan Promise Scholarship that provides funding for college to students who meet academic criteria.
R305E100013,Intended and Unintended Consequences of State High-Stakes Testing: Evidence from Standards-Based Reform in Massachusetts,Partnerships and Collaborations Focused on Problems of Practice or Policy,Evaluation of State and Local Education Programs and Policies,Policy,"This project will evaluate the impact of high stakes (for students and schools or for schools only) testing in Massachusetts. Massachusetts began administering the Massachusetts Comprehensive Assessment System (MCAS) mathematics and English/language arts examinations in 1998. For the class of 2003, the 10th grade tests became high-stakes exit examinations. Students must pass both tests in order to receive a high school diploma."
R305E100030,Evaluation of the Effectiveness of the Ohio Department of Education's Literacy Core Curriculum for Early Childhood Educators,Partnerships and Collaborations Focused on Problems of Practice or Policy,Evaluation of State and Local Education Programs and Policies,Policy,"This project will evaluate the Ohio Department of Education-sponsored professional development course for early childhood educators known as the Literacy Core Curriculum for Early Childhood Educators (""Core"") program. Nearly 1,200 Ohio pre-K educators have been trained in Core since 2008; however; the effectiveness of this program and its companion mentoring program, the Teacher Leader Program, to increase educators' literacy-related knowledge and practices has not been tested against other state-sponsored professional development courses (e.g., those that focus on math or science). Similarly, the effects of such literacy-based programs on literacy-related skills of children in participating teachers' classes are unknown. This research team will address both of these questions by conducting an independent evaluation of Core and the Teacher Leader Program using a randomized controlled trial."
R305E100043,Middle School Intervention Project (MSIP),Partnerships and Collaborations Focused on Problems of Practice or Policy,Evaluation of State and Local Education Programs and Policies,Policy,This project will assess the implementation and impact of a targeted middle grades intervention to improve reading and school engagement among students with reading difficulties taking place within a universal intervention to improve reading and engagement among all students.
R305E110019,Gifted Education Program Participation and Program Impacts,Partnerships and Collaborations Focused on Problems of Practice or Policy,Evaluation of State and Local Education Programs and Policies,Policy,"The goal of this project is to evaluate the impact of gifted education on student achievement in the Broward County Public Schools (BCPS) in Florida. The BCPS gifted program is district-wide and characterized by high-intensity models with separate gifted classrooms, specialized teacher training, and accelerated and differentiated instruction. The research team will also evaluate a BCPS universal screening program aimed at the under-representation of disadvantaged groups in the gifted program. Applying quasi-experimental methods to secondary data, researchers will answer three main questions: (1) What is the effect of gifted education in early elementary grades on subsequent academic achievement? (2) What is the impact of universal screening to identify potentially gifted children on the size and composition of the gifted population? (3) To the extent that universal screening increases the size of the gifted population, how do the program impacts for newly identified students compare to impacts for students identified though traditional channels?"
R305E120003,The Effect of Dual-Language Immersion on Student Achievement in the Portland Public Schools,Partnerships and Collaborations Focused on Problems of Practice or Policy,Evaluation of State and Local Education Programs and Policies,Policy,"Dual-language immersion programs seek to help the growing number of language minority students learn English and achieve academically, while giving language majority students the opportunity to develop proficiency in another language. These programs differ fundamentally from traditional foreign language programs in two important ways: 1) teachers deliver regular curricular content through a ""partner language"" (such as Spanish or Russian), but do not generally teach the partner language directly; and 2) students receive instruction in the partner language as early as kindergarten and may continue to receive language instruction through high school. While the primary goal of dual language immersion programs is for students to learn a second language, these programs have potential to improve student achievement across curricular areas. The researchers will examine the effect of the Portland Public Schools' (PPS) dual-language immersion programs on student achievement in English, mathematics, and science, and on student engagement as measured through student attendance and behavior."
R305E120006,Evaluation of the Long-Term Effects of Retention under New York City's Student Promotion Policy,Partnerships and Collaborations Focused on Problems of Practice or Policy,Evaluation of State and Local Education Programs and Policies,Policy,"A growing number of states and school districts have established policies that link grade promotion decisions to standardized test performance. The assumption underlying such policies is that an additional year of instruction in the same grade will help struggling students acquire the skills needed to succeed in future grades. Grade retention remains highly controversial and considerable uncertainty exists regarding the causal effect of retention on student outcomes. The researchers will examine the impact of grade retention under a comprehensive student promotion policy instituted by New York City Department of Education (NYCDOE). Prior work by the researchers has shown that retention in 5th grade under this policy had significant positive effects on English language arts and mathematics achievement in 6th and 7th grade. This study will extend the earlier work by examining the effects of retention in grades 3 through 8 on high school persistence, behavioral outcomes, and academic measures."
R305E120010,Assessment of the Florida College and Career Readiness Initiative,Partnerships and Collaborations Focused on Problems of Practice or Policy,Evaluation of State and Local Education Programs and Policies,Policy,"Students who receive a high school diploma may not have the requisite skills to successfully complete college-level work and may not recognize that they lack this preparation. As a result, when they enter college they may be required to enroll in remediation courses. To increase these students' college-readiness in high school and reduce their need for remediation at community colleges, Florida has implemented the Florida College and Career Readiness Initiative (FCCRI). The FCCRI uses test scores to identify 11th grade students likely to graduate high school but also likely to need remediation in college and then provides remediation in 12th grade. The researchers will evaluate the impact of the FCCRI on students' college persistence and completion."
R305E130009,Beyond Triage: A Randomized Experiment in Sustained Pre-College Advising,Partnerships and Collaborations Focused on Problems of Practice or Policy,Evaluation of State and Local Education Programs and Policies,Policy,"This project evaluated a state-sponsored college access program known as Advise Texas (Advise TX) run by the Texas Higher Education Coordinating Board (THECB). The primary goal of Advise TX is to provide a uniform and readily available college access program that will raise the rates of college enrollment and completion among low-income, first-generation-college, and underrepresented high school students in Texas."
R305E150005,Using Teacher Evaluation Data to Drive Instructional Improvement: Evidence from the Evaluation Partnership Program in Tennessee,Partnerships and Collaborations Focused on Problems of Practice or Policy,Evaluation of State and Local Education Programs and Policies,Policy,"Building on existing research collaborations between the Tennessee Department of Education (TDOE) and researchers at both Vanderbilt and Brown/Harvard Universities, researchers for this project will examine the implementation and impact of the Evaluation Partnership Program (EPP) on teacher and student outcomes. The EPP is a central component of the state's teacher evaluation system and its ongoing efforts to use the system to promote instructional improvement. Researchers will also focus on developing the research partnership to build on TDOE's capacity to use research to advance agency priorities and to conduct rigorous program evaluation and manage randomized interventions. In addition, the grant will build capacity among all partners to develop and sustain a research agenda that can provide rigorous and actionable evidence to inform state policy."
R305E150006,California's College and Career Readiness Standards in the Era of Common Core Assessments,Partnerships and Collaborations Focused on Problems of Practice or Policy,Evaluation of State and Local Education Programs and Policies,Policy,"In this project, researchers will describe and evaluate the impact of the revised California Early Assessment Program (EAP) that signals 11th grade students about their readiness to take postsecondary for-credit courses (based on their 11th grade state test scores in English and math) and provides advice on improving their readiness during 12th grade. In a previously funded IES study, researchers found that the Early Assessment Program had modest effects of college readiness for students attending the California State University system. The program has undergone two major changes justifying further evaluation. First, the program switched from voluntary to mandatory student participation. Second, California's adoption of the Common Core State Standards was followed by its adoption of the standards-aligned Smarter Balanced Summative Assessments (Smarter Balanced) in 2014-2015, which are now used to determine students' college readiness status."
R305E190002,An Evaluation of Turning Around North Carolina's Lowest Performing Schools: A State Partnership Evaluation,Partnerships and Collaborations Focused on Problems of Practice or Policy,Evaluation of State and Local Education Programs and Policies,Policy,"The research team investigated the implementation and impact of a school turnaround plan for low-performing schools in North Carolina. The plan, called the North Carolina Transformation (NCT) program, identified and targeted increasing each school's leadership and instructional capacities. Rather than the expected positive effects of NCT on student and teacher outcomes, their regression discontinuity study found that student achievement gains were lowered and that teacher turnover increased in the schools. The lowered NCT effectiveness appears to have been related to the timing of implementing the comprehensive needs assessment, reductions in services due to state budget cuts, and a theory of change that omitted several evidence-based practices."
R305H140028,Dual-Credit Courses and the Road to College: Experimental Evidence from Tennessee,Partnerships and Collaborations Focused on Problems of Practice or Policy,Evaluation of State and Local Education Programs and Policies,Policy,"This project team evaluated the impact of Tennessee's dual credit course for Advanced Algebra/Trigonometry on students' high school and college outcomes. Dual-credit courses are courses taken in high school that can provide college credit. These courses are designed to align high school and college curricula by providing college-level instruction within the familiar context of high school. Curricular alignment between high school and college may better prepare students by exposing them to the expectations, skills, and knowledge necessary to succeed in college."
R305H140045,An Evaluation of the Authentic Intellectual Work Initiative in Iowa,Partnerships and Collaborations Focused on Problems of Practice or Policy,Evaluation of State and Local Education Programs and Policies,Policy,"A significant concern among education stakeholders is that many U.S. high schools fall short in preparing students for successful transitions to adult life. The Common Core State Standards were designed to address these concerns by defining the knowledge and skills students need to succeed in entry-level college coursework and workforce training. Many states and school districts are seeking strategies to help teachers teach in ways that align with the Common Core State Standards and subsequently improve the college and career readiness of students. In this evaluation, researchers will study the effect of Iowa's Authentic Intellectual Work (AIW) initiative which is intended to provide students with opportunities to engage in the rigorous manipulation of knowledge through discussion, thinking, and writing – learning experiences that align with the Common Core State Standards."
R305H140065,Evaluating the Impact of CUNY Start through a Researcher (MDRC) – Local Education Agency (City University of New York) Partnership,Partnerships and Collaborations Focused on Problems of Practice or Policy,Evaluation of State and Local Education Programs and Policies,Policy,"Most community college students are referred to developmental education courses to build basic skills. Colleges have typically responded to the needs of students referred to developmental coursework by designing multi-level, non-credit course sequences in reading, English, and math. However, students often struggle in these courses and college more broadly. To help address the needs of incoming students, the City University of New York (CUNY) developed CUNY Start (CS), a multifaceted pre-matriculation program that provides intensive instruction in reading, writing, and math with a prescribed pedagogy delivered by trained teachers. CS is an ambitious initiative designed to help students with low basic skills levels succeed in college. Prior to this project there was no experimental evidence of CS's success. In this study, researchers found evidence of the estimated effect of CS on students' academic outcomes, how these effects vary by population and context, how the program is implemented, and its associated costs. These findings have helped CUNY refine its institutional strategy and contribute to the national discussion on how to increase the success rate of students who enter community college with substantial remedial needs."
