grant_id,ies_title,project_type,design,triage,confidence,rationale
R305E100013,Intended and Unintended Consequences of State High-Stakes Testing: Evidence from Standards-Based Reform in Massachusetts,Efficacy,Efficacy,likely non-RCT (QED/RDD/policy eval),high,evaluates a standing state/policy program via natural/administrative variation (policy / merit aid / accountability / reclassification / charter) - non-randomizable
R305E150006,California's College and Career Readiness Standards in the Era of Common Core Assessments,Efficacy,Efficacy,likely non-RCT (QED/RDD/policy eval),high,evaluates a standing state/policy program via natural/administrative variation (policy / merit aid / accountability / reclassification / charter) - non-randomizable
R305A210017,Evaluating the Longer Term Impact of Early College High Schools on Workforce and Life Outcomes,Follow-Up,Other,likely non-RCT (QED/RDD/policy eval),low,ambiguous - design could plausibly be RCT or QED from the purpose text
R305A210292,An Experienced School Support Organization at Scale: A Study of The Urban Assembly Network,Efficacy,Efficacy,likely non-RCT (QED/RDD/policy eval),low,ambiguous - design could plausibly be RCT or QED from the purpose text
R305A220036,Longitudinal Impacts of the Boston Prekindergarten Program Through Early Adulthood,Follow-Up,Other,likely non-RCT (QED/RDD/policy eval),low,ambiguous - design could plausibly be RCT or QED from the purpose text
R305A080372,Massachusetts Expanded Learning Time: Implementation and Outcomes,Efficacy,Efficacy,likely non-RCT (QED/RDD/policy eval),medium,object of study is a pre-existing program rather than a researcher-delivered intervention
R305A160013,Contexts Inside and Outside of School Walls as Predictors of Differential Effectiveness in Preschool Professional Development,Efficacy,Efficacy,likely non-RCT (QED/RDD/policy eval),medium,object of study is a pre-existing program rather than a researcher-delivered intervention
R305E090010,Evaluation of the New Jersey Preschool Expansion (NJPE) Program,Efficacy,Efficacy,likely non-RCT (QED/RDD/policy eval),medium,object of study is a pre-existing program rather than a researcher-delivered intervention
R305F050161,Evaluation of Ohio's School Conflict Management Program,Efficacy,Efficacy,likely non-RCT (QED/RDD/policy eval),medium,object of study is a pre-existing program rather than a researcher-delivered intervention
R305H140045,An Evaluation of the Authentic Intellectual Work Initiative in Iowa,Efficacy,Efficacy,likely non-RCT (QED/RDD/policy eval),medium,object of study is a pre-existing program rather than a researcher-delivered intervention
R305S210005,A Study in Equity: Oregon's 9th Grade Transition,Efficacy,Efficacy,likely non-RCT (QED/RDD/policy eval),medium,object of study is a pre-existing program rather than a researcher-delivered intervention
R305S210008,The Distributional Effects of Secondary Career and Technical Educational (CTE) Programs on Postsecondary Educational and Employment Outcomes: An Evaluation of Delaware's CTE Programs of Study,Efficacy,Efficacy,likely non-RCT (QED/RDD/policy eval),medium,object of study is a pre-existing program rather than a researcher-delivered intervention
R305S210026,Understanding Pennsylvania's Educational Inequities in the time of COVID-19,Efficacy,Efficacy,likely non-RCT (QED/RDD/policy eval),medium,object of study is a pre-existing program rather than a researcher-delivered intervention
R305S220003,Assessing the Long-Term Impacts of School Extension Programs on Student Re-Engagement and Learning Recovery,Efficacy,Efficacy,likely non-RCT (QED/RDD/policy eval),medium,object of study is a pre-existing program rather than a researcher-delivered intervention
R305X220016,Evidence to Inform Improvement: Supporting California Community Colleges in Pandemic Recovery,Efficacy,Efficacy,likely non-RCT (QED/RDD/policy eval),medium,object of study is a pre-existing program rather than a researcher-delivered intervention
R305X220018,Leveraging Technology and Engaging Students: Evaluating Covid-19 Recovery Efforts in the Los Angeles Community College District,Efficacy,Efficacy,likely non-RCT (QED/RDD/policy eval),medium,object of study is a pre-existing program rather than a researcher-delivered intervention
R305A170529,"Attention, Memory, and Executive Functions in Written Language Expression in Elementary School Children",Efficacy,Efficacy,likely non-trial (dev/measurement),high,development / measurement / validation / descriptive study (no impact test)
R324N190002,Project VIABLE: Validation of Instruments for Assessing Behavior Longitudinally and Efficiently,Development and Innovation,Other,likely non-trial (dev/measurement),high,development / measurement / validation / descriptive study (no impact test)
R324X220067,Project ENGAGE: Enhancing Student Engagement to Facilitate Learning and Well-Being,Efficacy,Efficacy,likely non-trial (dev/measurement),low,ambiguous - design could plausibly be RCT or QED from the purpose text
R305A110685,Data Modeling Supports the Development of Statistical Reasoning,Efficacy,Efficacy,likely non-trial (dev/measurement),medium,no impact test of a discrete intervention described
R305C210003,Postsecondary Teaching with Technology Collaborative,Other,Other,likely non-trial (dev/measurement),medium,no impact test of a discrete intervention described
