doi,metadata_source,publication_title,publication_source_title,publication_type,publication_publisher,publication_date,publication_year,metadata_url,metadata_status,metadata_error
10.2307/27740374,openalex,The Timing of Early Reading Assessment in Kindergarten,Learning Disability Quarterly,article,NA,2009-11-01,2009,https://api.openalex.org/works?filter=doi:https://doi.org/10.2307%2F27740374,success,NA
10.2307/30034927,NA,NA,NA,NA,NA,NA,NA,NA,error,OpenAlex: OpenAlex returned zero results || Crossref: subscript out of bounds
10.2307/30034954,NA,NA,NA,NA,NA,NA,NA,NA,error,OpenAlex: OpenAlex returned zero results || Crossref: subscript out of bounds
10.2511/rpsd.30.3.168,openalex,Self-Determination by Individuals with Severe Disabilities: Limitations or Excuses?,Research and Practice for Persons with Severe Disabilities,article,NA,2005-07-01,2005,https://api.openalex.org/works?filter=doi:https://doi.org/10.2511%2Frpsd.30.3.168,success,NA
10.3386/w17120,openalex,How Performance Information Affects Human-Capital Investment Decisions: The Impact of Test-Score Labels on Educational Outcomes,National Bureau of Economic Research,report,NA,2011-06-01,2011,https://api.openalex.org/works?filter=doi:https://doi.org/10.3386%2Fw17120,success,NA
10.3386/w20511,openalex,The Impact of No Child Left Behind's Accountability Sanctions on School Performance: Regression Discontinuity Evidence from North Carolina,National Bureau of Economic Research,report,NA,2014-09-01,2014,https://api.openalex.org/works?filter=doi:https://doi.org/10.3386%2Fw20511,success,NA
10.3389/fnhum.2016.00397,openalex,"Improving Dorsal Stream Function in Dyslexics by Training Figure/Ground Motion Discrimination Improves Attention, Reading Fluency, and Working Memory",Frontiers in Human Neuroscience,article,NA,2016-08-07,2016,https://api.openalex.org/works?filter=doi:https://doi.org/10.3389%2Ffnhum.2016.00397,success,NA
10.3390/educsci12030195,openalex,Lessons Learned from 10 Experiments That Tested the Efficacy and Assumptions of Hypothetical Learning Trajectories,Education Sciences,article,NA,2022-03-10,2022,https://api.openalex.org/works?filter=doi:https://doi.org/10.3390%2Feducsci12030195,success,NA
10.3390/educsci8040181,openalex,Peer Effects on Vocabulary Knowledge: A Linear Quantile Mixed-Modeling Approach,Education Sciences,article,NA,2018-10-23,2018,https://api.openalex.org/works?filter=doi:https://doi.org/10.3390%2Feducsci8040181,success,NA
10.3390/educsci8040198,openalex,Observations of Vocabulary Activities during Second- and Third-Grade Reading Lessons,Education Sciences,article,NA,2018-11-12,2018,https://api.openalex.org/works?filter=doi:https://doi.org/10.3390%2Feducsci8040198,success,NA
10.4219/jaa-2008-780,openalex,"Enhancing Early Numeracy by Promoting the Abstract Thought Involved in the Oddity Principle, Seriation, and Conservation",Journal of Advanced Academics,article,NA,2008-01-01,2008,https://api.openalex.org/works?filter=doi:https://doi.org/10.4219%2Fjaa-2008-780,success,NA
10.56645/jmde.v8i17.291,openalex,Investigating the Efficacy of a Professional Development Program in Formative Classroom Assessment in Middle School English Language Arts and Mathematics,Journal of MultiDisciplinary Evaluation,article,NA,2012-01-24,2012,https://api.openalex.org/works?filter=doi:https://doi.org/10.56645%2Fjmde.v8i17.291,success,NA
10.5951/mtlt.2021.0252,openalex,Challenging but Achievable Math for Young Children,Mathematics Teacher Learning and Teaching PK-12,article,NA,2022-07-01,2022,https://api.openalex.org/works?filter=doi:https://doi.org/10.5951%2Fmtlt.2021.0252,success,NA
10.5951/tcm.14.3.0178,openalex,Thinking about Learning Trajectories in Preschool,Teaching Children Mathematics,article,NA,2007-10-01,2007,https://api.openalex.org/works?filter=doi:https://doi.org/10.5951%2Ftcm.14.3.0178,success,NA
10.5951/teacchilmath.24.3.0178,openalex,What Is Developmentally Appropriate Teaching?,Teaching Children Mathematics,article,NA,2017-11-01,2017,https://api.openalex.org/works?filter=doi:https://doi.org/10.5951%2Fteacchilmath.24.3.0178,success,NA
10.5964/jnc.11635,openalex,Understanding the role of working memory and phonological memory in mathematics and response to intervention for emergent bilingual kindergartners,Journal of Numerical Cognition,article,NA,2024-04-17,2024,https://api.openalex.org/works?filter=doi:https://doi.org/10.5964%2Fjnc.11635,success,NA
